"filename", "language", "JSON with Comments", "TypeScript JSX", "PostCSS", "TypeScript", "JSON", "YAML", "JavaScript", "Markdown", "XML", "comment", "blank", "total"
"d:\dry-fruits-app\WEB APP\lib\paytm.ts", "TypeScript", 0, 0, 0, 40, 0, 0, 0, 0, 0, 3, 5, 48
"d:\dry-fruits-app\WEB APP\lib\products.ts", "TypeScript", 0, 0, 0, 202, 0, 0, 0, 0, 0, 0, 1, 203
"d:\dry-fruits-app\WEB APP\lib\test-accounts.ts", "TypeScript", 0, 0, 0, 66, 0, 0, 0, 0, 0, 9, 10, 85
"d:\dry-fruits-app\WEB APP\lib\utils.ts", "TypeScript", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 2, 7
"d:\dry-fruits-app\WEB APP\next.config.mjs", "JavaScript", 0, 0, 0, 0, 0, 0, 9, 0, 0, 1, 2, 12
"d:\dry-fruits-app\WEB APP\package-lock.json", "JSON", 0, 0, 0, 0, 4992, 0, 0, 0, 0, 0, 1, 4993
"d:\dry-fruits-app\WEB APP\package.json", "JSON", 0, 0, 0, 0, 75, 0, 0, 0, 0, 0, 0, 75
"d:\dry-fruits-app\WEB APP\pnpm-lock.yaml", "YAML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"d:\dry-fruits-app\WEB APP\postcss.config.mjs", "JavaScript", 0, 0, 0, 0, 0, 0, 6, 0, 0, 1, 2, 9
"d:\dry-fruits-app\WEB APP\public\icon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 26
"d:\dry-fruits-app\WEB APP\public\placeholder-logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\dry-fruits-app\WEB APP\public\placeholder.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\dry-fruits-app\WEB APP\styles\globals.css", "PostCSS", 0, 0, 120, 0, 0, 0, 0, 0, 0, 0, 6, 126
"d:\dry-fruits-app\WEB APP\tsconfig.json", "JSON with Comments", 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 43
"Total", "-", 42, 10457, 412, 721, 5088, 4, 15, 131, 28, 154, 1329, 18381
